"Id","Name","Lat","Lng","Price_level","Rating","Nb_Rating","Type"
"ChIJWcuStuJt5kcRBoIm1tPqnak","Boulevard Richard-Lenoir","48.8661527","2.369027",NA,NA,NA,"route"
"ChIJtT3xseJt5kcRz-VSn-5e2i4","Albert's Hotel","48.8661116","2.3684602",NA,"4","161","lodging point_of_interest establishment"
"ChIJtWV6ruJt5kcRGToi7O8nhso","Hotel Gabriel Paris","48.866134","2.36827",NA,"4.1","259","lodging point_of_interest establishment"
"ChIJa34JsuJt5kcRCqQBMzzuLfQ","Hôtel 20 Prieuré","48.8660182","2.3685156",NA,"4.1","212","lodging point_of_interest establishment"
"ChIJraHls-Jt5kcR89s8Lo2FpaE","Boumpouka Christina","48.8661739","2.3687639",NA,"1.8","5","doctor health point_of_interest establishment"
"ChIJraHls-Jt5kcRsIjkYxzGasI","Dr. Anyfantakis, Dermatologist","48.8661739","2.3687639",NA,"3.8","34","doctor health point_of_interest establishment"
"ChIJPVD1M_1t5kcRtJU7GmHpIG8","Bois Détail","48.8660848","2.3689259",NA,"2.4","43","point_of_interest clothing_store store establishment"
"ChIJMZtsMONt5kcRoPcEvs1CUbE","Pipeline Store Republic","48.866217","2.368592",NA,"4.7","115","point_of_interest store establishment"
"ChIJe7JMsOJt5kcRe2yjWbZT2gw","French Karib Paris","48.8662168","2.3685917","2","4.2","495","restaurant food point_of_interest establishment"
"ChIJsyuLsuJt5kcRhN8JqjOsbgI","Casting Company","48.8659515","2.3685467",NA,NA,NA,"point_of_interest establishment"
"ChIJA3Q4teJt5kcR-t7TlkQQYXA","Chaffoteaux","48.8658394","2.3690644",NA,"1","1","point_of_interest establishment"
"ChIJZSsms-Jt5kcR1btjfaEjzxM","Clemence Cahu","48.8658155","2.3687153",NA,NA,NA,"point_of_interest establishment"
"ChIJ57wkrOJt5kcRn1cFau1Nwjk","M. Leif Steene - Kinésithérapeute - Paris (75011)","48.8660906","2.3682328",NA,NA,NA,"physiotherapist health point_of_interest establishment"
"ChIJ57wkrOJt5kcRh09phefZp7o","François Gonzales Mendoza - Kinésithérapeute","48.8660906","2.3682328",NA,"5","2","physiotherapist health point_of_interest establishment"
"ChIJ57wkrOJt5kcRI7cly7pVRPE","Atelier Physio Sport","48.8660906","2.3682328",NA,"5","10","health point_of_interest establishment"
"ChIJ57wkrOJt5kcRt6zwk4j-UoU","Adrien Harlé - Kinésithérapeute","48.8660906","2.3682328",NA,NA,NA,"physiotherapist health point_of_interest establishment"
"ChIJ57wkrOJt5kcR7nSJQdLW9V8","Axel Kremmer - Kinésithérapeute","48.8660906","2.3682328",NA,NA,NA,"physiotherapist health point_of_interest establishment"
"ChIJVVVBseJt5kcR96qVkG1Q738","Sauvtontel","48.8661739","2.3687639",NA,NA,NA,"point_of_interest store establishment"
"ChIJVVVBseJt5kcRgv3zIuGdMww","Kee Klamp","48.866174","2.368764",NA,"5","2","point_of_interest establishment"
"ChIJD7fiBh9u5kcRYJSMaMOCCwQ","Paris","48.856614","2.3522219",NA,NA,NA,"locality political"
"ChIJVVVBseJt5kcRNw0cPikUm1c","infirmières Anatole-Fromont République","48.8661739","2.3687639",NA,"5","7","health point_of_interest establishment"
"ChIJQRb9sOJt5kcRijmjm4dmCaQ","Ferry - Lenoir","48.866277","2.368682",NA,NA,NA,"transit_station point_of_interest establishment"
"ChIJVVW5seJt5kcRGbLjm5OucjE","Intelixia","48.8662168","2.3685917",NA,NA,NA,"point_of_interest establishment"
"ChIJVVW5seJt5kcRRxORcbgevMQ","M2ie Conseil","48.8662168","2.3685917",NA,"5","1","point_of_interest establishment"
"ChIJscB5tOJt5kcRHQpy-9D2MCA","Id De Paris Nouvelle","48.8659908","2.3688298",NA,NA,NA,"point_of_interest establishment"
"ChIJHUb1h21v5kcRP7MQkC8PX28","Cabinet d'Avocats LELLOUCHE","48.8662195","2.3684601",NA,NA,NA,"lawyer point_of_interest establishment"
"ChIJOyKXcPht5kcR1SacfmPzDbI","Frenchy’s Crêpes and Bagels","48.8662195","2.3684601",NA,"3.5","17","restaurant food point_of_interest store establishment"
"ChIJ8_vGr-Jt5kcRWIvDIJh0_oA","Sebban Richard Fellous Marianne SCP","48.8662195","2.3684601",NA,NA,NA,"lawyer finance point_of_interest establishment"
"ChIJ8_vGr-Jt5kcRHUoQkAKx4-s","Touati-Sitbon Nathalie","48.8662195","2.3684601",NA,NA,NA,"lawyer finance point_of_interest establishment"
"ChIJg4uOr-Jt5kcRhVxHVgbaU8M","Etude Couderc","48.86622","2.36846",NA,"2.8","22","real_estate_agency point_of_interest establishment"
"ChIJAclvGM1t5kcRq4TkRghftw4","Délicieuse ta crêpe","48.8662675","2.3684637",NA,NA,NA,"restaurant food point_of_interest establishment"
"ChIJa34JsuJt5kcRDKxeuZNkjQU","Financiere Hoteliere Du Marais Financiere Hoteliere Du Marais","48.8660182","2.3685156",NA,NA,NA,"lodging point_of_interest establishment"
"ChIJP92km-Jt5kcRBiLaJZvs5sA","square Jules-Ferry","48.866479","2.369077",NA,"3.7","278","tourist_attraction park point_of_interest establishment"
"ChIJ0eedyuJt5kcRyY7reqZ2QcU","GE Maxime","48.8658945","2.3689603",NA,NA,NA,"point_of_interest establishment"
"ChIJl8lDteJt5kcR_ZikbfXUUTw","massage Yuki Beauté","48.8658607","2.3690944",NA,"2.8","6","spa point_of_interest establishment"
"ChIJI3g7Tk5v5kcRM_uqEBq7adA","Jolies Culottes","48.8658339","2.3687092",NA,"4.2","40","point_of_interest establishment"
"ChIJi8Y3s-Jt5kcRnhQ5jl2ryws","Td-solutions","48.8658339","2.3687092",NA,NA,NA,"point_of_interest establishment"
"ChIJ3X_cj4Vv5kcRaVzZ8-dZYPI","Bryan LITTRE - kinésithérapeute - Physiothérapeute -","48.8660778","2.3682404",NA,NA,NA,"physiotherapist health point_of_interest establishment"
"ChIJL_w6rOJt5kcRNGZICccqrks","AFMcK","48.8660778","2.3682404",NA,NA,NA,"point_of_interest establishment"
